"id","year","quarter","state_name","num_blocks_surveyed","households","males_age_0_4_years","females_age_0_4_years","persons_age_0_4_years","males_age_5_14_years","females_age_5_14_years","persons_age_5_14_years","males_age_15_29_years","females_age_15_29_years","persons_age_15_29_years","males_age_15_59_years","females_age_15_59_years","persons_age_15_59_years","males_age_15_above_years","females_age_15_above_years","persons_age_15_above_years","males_all_ages","females_all_ages","persons_all_ages","state_code"
19,"2019","April-June","Uttarakhand",96.0,760.0,132.0,111.0,243.0,299.0,264.0,563.0,566.0,440.0,1006.0,1138.0,1023.0,2161.0,1257.0,1144.0,2401.0,1688.0,1519.0,3207.0,"05"
20,"2019","April-June","Uttar Pradesh",408.0,3238.0,661.0,529.0,1190.0,1458.0,1236.0,2694.0,2518.0,2303.0,4821.0,5177.0,4921.0,10098.0,5761.0,5472.0,11234.0,7880.0,7237.0,15118.0,"09"
21,"2019","April-June","West Bengal",375.0,2993.0,309.0,294.0,604.0,682.0,625.0,1308.0,1590.0,1605.0,3196.0,3957.0,4016.0,7975.0,4679.0,4731.0,9412.0,5670.0,5650.0,11324.0,"19"
22,"2019","April-June","All-India",5723.0,45288.0,6345.0,5603.0,11953.0,14130.0,12568.0,26702.0,26318.0,24711.0,51043.0,61783.0,60220.0,122035.0,71047.0,69681.0,140767.0,91522.0,87852.0,179422.0,"99"
23,"2019","July-September","Andhra Pradesh",225.0,1725.0,208.0,161.0,369.0,417.0,368.0,786.0,849.0,896.0,1746.0,2116.0,2214.0,4334.0,2432.0,2547.0,4984.0,3057.0,3076.0,6139.0,"28"
24,"2019","July-September","Assam",111.0,880.0,99.0,75.0,174.0,259.0,207.0,466.0,439.0,434.0,873.0,1155.0,1146.0,2301.0,1337.0,1305.0,2642.0,1695.0,1587.0,3282.0,"18"
25,"2019","July-September","Bihar",168.0,1342.0,264.0,241.0,506.0,698.0,600.0,1298.0,985.0,859.0,1844.0,2062.0,1890.0,3953.0,2330.0,2135.0,4466.0,3292.0,2976.0,6270.0,"10"
26,"2019","July-September","Chhattisgarh",102.0,806.0,139.0,115.0,255.0,272.0,271.0,543.0,488.0,516.0,1004.0,1154.0,1168.0,2322.0,1288.0,1306.0,2594.0,1699.0,1692.0,3392.0,"22"
27,"2019","July-September","Delhi",120.0,874.0,107.0,86.0,194.0,266.0,246.0,512.0,592.0,441.0,1033.0,1274.0,1035.0,2310.0,1411.0,1171.0,2583.0,1784.0,1503.0,3289.0,"07"
28,"2019","July-September","Gujarat",214.0,1611.0,231.0,184.0,415.0,500.0,405.0,905.0,1017.0,877.0,1894.0,2373.0,2187.0,4560.0,2745.0,2603.0,5348.0,3476.0,3192.0,6668.0,"24"
29,"2019","July-September","Haryana",159.0,1209.0,207.0,169.0,376.0,457.0,349.0,806.0,824.0,640.0,1464.0,1824.0,1580.0,3404.0,2059.0,1822.0,3882.0,2723.0,2340.0,5064.0,"06"
30,"2019","July-September","Himachal Pradesh",48.0,380.0,38.0,28.0,66.0,118.0,81.0,199.0,173.0,143.0,316.0,426.0,392.0,818.0,471.0,444.0,915.0,627.0,553.0,1180.0,"02"
31,"2019","July-September","Jammu And Kashmir",178.0,1366.0,209.0,203.0,412.0,490.0,429.0,919.0,790.0,754.0,1544.0,2040.0,1978.0,4018.0,2382.0,2309.0,4692.0,3081.0,2941.0,6023.0,"01"
